Site	HabitatArea	CanopyCover	Movement
1	199.817626725417	39.9081720924529	5.70771898868512
2	299.796740815509	64.0985158124887	8.45180641374217
3	197.316482954193	69.0014912799607	8.49953318764786
4	145.250132016372	51.8825150219353	5.36454750255423
5	192.254611290991	58.5428683086889	7.1105230090562
6	476.269891986158	76.2006373324305	11.1903716061913
7	347.771284566261	53.0164368921466	12.1369924550373
8	450.239520159084	67.8684008486663	12.0224667963032
9	202.104445861187	56.4656539279544	8.8681063187322
10	245.637637784239	58.5342039768587	7.66092685975486
11	102.911668492015	47.4892944113077	7.57476799838591
12	392.772231553681	79.6737495993244	10.8867600519386
13	113.808154664002	61.9496208947794	6.19520004260486
14	395.108779054135	77.4608139357105	10.244900820376
15	428.962113859598	71.7036244017572	13.8022313216299
16	399.537211854476	63.9511341564231	10.492491705957
17	110.222446476109	57.1319995587498	2.99693336903778
18	412.671241734643	51.4030139275025	8.57546284057559
19	453.552252182271	63.6542500776254	11.9546228854876
20	467.140940588433	70.6847910281723	13.6807131681519
21	326.849044230767	53.8651464803218	7.50693442172224
22	179.368980263826	55.4876251198158	6.18465956874822
23	368.711808766238	64.1941790488224	7.306858201681
24	148.848051589448	44.5172131946473	5.29846455543374
25	136.879506066907	51.5709383526967	6.15190339757982
26	258.496127894614	49.4790419724774	7.96745452293268
27	237.529037357308	74.8311673967139	5.7637029492995
28	198.869376780931	65.5957135253612	8.47126456445359
29	184.567766438704	52.9748690429315	7.86810665373641
30	449.172940687276	67.6903693434416	12.7566641085615
31	73.6107331584208	58.9326720204923	6.25936751552347
32	321.88417413272	70.780555807895	10.990185835581
33	408.39324031258	79.4494848123832	9.66451207895005
34	77.9041416710243	49.958882032891	7.86372581137254
35	402.213032601867	58.7193476074503	14.6950999917298
36	426.938948116731	86.6503729099225	9.30967883280613
37	255.48636604799	60.5769495474255	7.69777192733081
38	149.821535043884	62.5949828771366	5.84319865517997
39	261.371182079893	84.6081823305127	8.51773418277301
40	67.7232746267691	63.1706205394532	3.8647232841872
41	219.398333400022	55.1082451858461	8.20888085344913
42	328.741166356485	58.8925923209419	9.49217248621772
43	66.6685442323796	46.2911155974486	5.70765126284648
44	346.823756198864	63.3674215654811	8.88400219870776
45	232.309591781814	66.9418547410722	7.90604336959169
46	337.270754261408	67.4652339118645	9.22207090168465
47	296.157260413747	69.5102218347973	9.99492214221086
48	105.143312492874	45.5951257539761	6.29610253840671
49	67.7602193318307	40.4746260835167	4.69421621360748
50	420.468917139806	74.2618851166827	10.5590830479325
