"y" "temp" "elev" "forest"
"1" 0 18.0176456090788 1192.93373654473 0.62624525253899
"2" 0 18.6047033198656 1229.90719919193 0.710734125678546
"3" 1 20.3950837396788 1119.58002438073 0.835642267098557
"4" 0 14.8155689640107 1384.30913784064 0.674245465323549
"5" 1 19.9033272889401 1066.32463733641 0.537038470151508
"6" 0 19.6100076138264 1092.47545682958 0.662298228354378
"7" 0 16.3558566923045 1345.47640153827 0.723290661644507
"8" 1 16.7051350663616 1316.6831039817 0.697587823957794
"9" 0 15.6615898537587 1446.57039122552 0.769529801297294
"10" 0 14.8343198601674 1394.93419161005 0.620930908185167
"11" 0 16.3473289239151 1313.21473543491 0.611595322630943
"12" 0 16.5953227179062 1407.84436307437 0.877817493166837
"13" 0 18.4363162332752 1110.05397399651 0.621173951944232
"14" 1 17.3541041667732 1303.87125000639 0.763554969007719
"15" 0 18.3948704154592 1229.56722492755 0.749843601005766
"16" 1 18.9627652923918 1120.89091754351 0.621072968990171
"17" 0 16.9473045662389 1414.21327397434 0.794943478695106
"18" 0 17.2363669630061 1249.30701778037 0.587484548214533
"19" 1 20.8862683040849 1019.05109824509 0.761940466320724
"20" 1 19.6190658920775 1079.76895352465 0.678219903238433
"21" 0 17.0871275183871 1302.35265110323 0.674505391654299
"22" 0 17.1443852403883 1322.7881144233 0.753143255080825
"23" 0 16.1704245262788 1374.85047157673 0.791497737076811
"24" 1 20.2688319458254 1027.25491674952 0.602286630417269
"25" 0 18.2336097968145 1276.89158780887 0.767661542161188
"26" 0 16.6350710036331 1291.97926021799 0.601772405306616
"27" 0 17.3700146093152 1293.32587655891 0.757153131536261
"28" 0 15.9932665383826 1375.22099230295 0.582745401416628
"29" 0 15.9256229728578 1320.16237837147 0.621038455754735
"30" 0 19.2000578110248 1184.62846866149 0.79007796349664
"31" 0 18.8816575210922 1132.27445126553 0.633622320091205
"32" 1 18.5835940248205 1265.39064148923 0.842577280810938
"33" 1 20.2327834515423 1043.59200709254 0.700785310409639
"34" 1 20.0915699041078 1115.86919424647 0.818648729609234
"35" 0 17.8987416706271 1218.54950023763 0.596816979548808
"36" 1 17.4737505107053 1335.80003064231 0.818637370521813
"37" 0 16.8760751360737 1254.18950816442 0.716702670394641
"38" 1 20.2962551539855 1066.15030923913 0.760802588545857
"39" 1 18.4092177600646 1111.42806560387 0.599682149173914
"40" 0 17.0416120933501 1321.121725601 0.727208342153832
"41" 0 15.9275970266877 1308.78082160126 0.538313538129506
"42" 1 18.1134329583427 1172.43097750056 0.645743356816525
"43" 1 19.7386260622849 1165.4425637371 0.833411488563876
"44" 0 15.3502698182347 1414.39118909408 0.735903836917303
"45" 0 18.2936556682825 1167.24434009695 0.565325784730306
"46" 1 17.5013425370945 1306.95555222567 0.721303208146865
"47" 0 16.0217547416844 1304.68028450106 0.665318747859742
"48" 0 17.5951602339278 1231.83461403567 0.764511104296997
"49" 1 20.74838869526 1045.7783217156 0.717444305886928
"50" 0 16.3149323693123 1361.77094215874 0.634636376337143
"51" 0 17.4922849777041 1265.66209866224 0.684631267897911
"52" 1 19.4395606812578 1122.74864087547 0.807617153315136
"53" 0 16.2614519893538 1417.31211936123 0.862346829646884
"55" 0 17.8564680917633 1301.2630855058 0.799237345591687
