site	temperature	pH_change
1	10	1.85196679167596
1	10.4166666666667	1.54737969747769
1	10.8333333333333	0.92927008872677
1	11.25	2.15050245840387
1	11.6666666666667	3.37139003900667
1	12.0833333333333	1.76224086416995
1	12.5	2.16215259120858
1	12.9166666666667	2.87062974380619
1	13.3333333333333	2.49959529415362
1	13.75	3.92090316239084
1	14.1666666666667	3.16261166401259
1	14.5833333333333	4.35763011002095
1	15	3.06306720585714
1	15.4166666666667	2.11122330710406
1	15.8333333333333	3.28603396407606
1	16.25	2.43004420331895
1	16.6666666666667	2.45842423335118
1	17.0833333333333	3.11687016510803
1	17.5	3.98937819285142
1	17.9166666666667	3.66250780897682
1	18.3333333333333	4.07771930934256
1	18.75	4.23477812396034
1	19.1666666666667	3.55987723761418
1	19.5833333333333	2.08474625592925
1	20	4.40957713821302
2	10	2.85807469267919
2	10.4166666666667	1.46057283114166
2	10.8333333333333	0.551275064243047
2	11.25	1.32244044041713
2	11.6666666666667	1.00557446828884
2	12.0833333333333	1.71060011703992
2	12.5	2.29303677237225
2	12.9166666666667	2.50627446863902
2	13.3333333333333	2.14440248063701
2	13.75	1.40601166736673
2	14.1666666666667	2.70907807514989
2	14.5833333333333	3.16363534403635
2	15	3.87614109598961
2	15.4166666666667	2.03427724610426
2	15.8333333333333	2.79170956702969
2	16.25	3.37543971129535
2	16.6666666666667	2.53838951234255
2	17.0833333333333	3.06727812883851
2	17.5	2.92998297408802
2	17.9166666666667	2.76578406040986
2	18.3333333333333	3.05786590399073
2	18.75	3.69523326804175
2	19.1666666666667	3.38607636656637
2	19.5833333333333	2.85343517353368
2	20	1.69210463847315
3	10	1.68637148617499
3	10.4166666666667	2.34470700888467
3	10.8333333333333	0.714337880913034
3	11.25	4.13786176373904
3	11.6666666666667	1.66382165587479
3	12.0833333333333	2.00918877914311
3	12.5	3.95789172480842
3	12.9166666666667	1.52032167849826
3	13.3333333333333	3.68633859465495
3	13.75	3.043948455148
3	14.1666666666667	3.71962818744896
3	14.5833333333333	4.13095152743497
3	15	2.96110947287782
3	15.4166666666667	3.25370270215526
3	15.8333333333333	1.76568945718269
3	16.25	3.30657721787358
3	16.6666666666667	4.3612054977095
3	17.0833333333333	4.56438090793807
3	17.5	5.74553267315332
3	17.9166666666667	4.48759226587407
