"movement" "area" "habitat"
"1" 14.640385439663 9.71342450240627 "Wetland"
"2" 12.2465301897676 5.84900093497708 "Wetland"
"3" 14.2950558230057 7.60823625372723 "Wetland"
"4" 5.24534783170063 3.72709394432604 "Grassland"
"5" 12.2021417466206 7.69193911226466 "Wetland"
"6" 4.95051711014808 5.376771830488 "Grassland"
"7" 7.086581203381 9.13995449664071 "Grassland"
"8" 3.47603510481987 1.85296441894025 "Grassland"
"9" 9.46739994329421 2.82218417385593 "Wetland"
"10" 4.17189250078608 0.949624131899327 "Forest"
"11" 4.26165000185434 2.10487079108134 "Grassland"
"12" 6.28835992568682 9.77098996285349 "Grassland"
"13" 7.572674416168 2.96302175382152 "Forest"
"14" 6.51454403232018 7.25983026903123 "Grassland"
"15" 12.9706703664947 7.8568783425726 "Wetland"
"16" 5.34801675035359 1.05417746119201 "Forest"
"17" 8.96902485985768 2.395946290344 "Wetland"
"18" 9.7752403305034 2.70544872386381 "Wetland"
"19" 5.21149572787963 1.0105849406682 "Forest"
"20" 2.90985300490946 1.1791384126991 "Forest"
"21" 8.71833835488271 9.91236555855721 "Forest"
"22" 10.506840098581 9.86054297303781 "Forest"
"23" 9.23243036007584 1.37067471398041 "Wetland"
"24" 7.4100705314368 9.0530958166346 "Grassland"
"25" 11.896985867953 5.76301837572828 "Wetland"
"26" 3.18827926398031 3.95448859082535 "Grassland"
"27" 8.39879065990144 4.49802484130487 "Forest"
"28" 7.55536625104179 7.0650190114975 "Grassland"
"29" 7.18058189156232 0.825027457904071 "Wetland"
"30" 7.3070440783241 3.39312580181286 "Grassland"
"31" 5.36615560844203 6.80787551216781 "Forest"
"32" 8.4920680373008 3.16949248081073 "Wetland"
"33" 13.8990515889332 8.31568598048761 "Wetland"
"34" 6.14592531555017 2.15172082651407 "Forest"
"35" 9.4998035817418 4.97948936186731 "Wetland"
"36" 6.45987610835844 2.76049672625959 "Grassland"
"37" 5.28375826774251 1.92023318726569 "Forest"
"38" 13.1412122328051 9.50621264055371 "Wetland"
"39" 6.58315020536362 3.21725537767634 "Forest"
"40" 8.6101954314648 4.78456383803859 "Forest"
"41" 3.25565475628186 0.279925719369203 "Grassland"
"42" 10.6615500237825 5.47459468012676 "Wetland"
"43" 12.109434280605 6.44240220542997 "Wetland"
"44" 6.91946957817174 5.96263544633985 "Forest"
"45" 9.35382314810079 3.21937375701964 "Wetland"
"46" 9.85016310981588 8.91114312456921 "Forest"
"47" 12.8994824134972 6.26256947405636 "Wetland"
"48" 5.77743201839757 3.02904915297404 "Grassland"
"49" 6.26898149676072 3.88204663759097 "Forest"
"50" 4.24685022903063 1.60475092474371 "Grassland"
"51" 10.1855524912191 8.62551897531375 "Forest"
"52" 10.6788423046847 9.53101213788614 "Forest"
"53" 11.906386661142 5.63644683454186 "Wetland"
"54" 6.55075149806219 3.29547413391992 "Forest"
"55" 4.90997046474441 9.96617218712345 "Grassland"
"56" 7.54805632181339 2.34819675795734 "Forest"
"57" 8.17017352755927 6.12671965267509 "Forest"
"58" 7.83892456605729 1.0817852942273 "Wetland"
"59" 7.20151877244166 4.87032569944859 "Forest"
"60" 3.71717409665734 0.99445823347196 "Grassland"
"61" 5.16015354540042 1.6116576269269 "Forest"
"62" 8.92106589931049 2.82992870779708 "Wetland"
"63" 6.24463242348605 5.83872335962951 "Forest"
"64" 14.7148490123014 7.31707658851519 "Wetland"
"65" 4.44094215073671 1.65520911104977 "Grassland"
"66" 14.3651485066937 8.66467763204128 "Wetland"
"67" 6.63609634498852 7.08574137184769 "Grassland"
