"patch_id" "visits" "flower_density" "patch_size" "distance_hedge"
"1" "1" 6 5.05995863216007 7.05952923537795 187.365896184929
"2" "1" 21 12.1616413251334 2.13230837714332 86.6070325719193
"3" "1" 14 2.10556074024679 8.6895745523475 59.973532310687
"4" "2" 13 7.49210806851575 4.27383480537451 240.27535461355
"5" "2" 16 14.8879095315857 4.2042315907816 218.32881309092
"6" "2" 16 8.83081240129506 8.40358290386686 65.1143924100325
"7" "3" 4 3.0667642504652 3.87155209761174 223.271551611833
"8" "3" 3 2.02887700521513 8.30370696410802 259.996112482622
"9" "3" 13 12.3292828228162 6.78889100993815 158.821726916358
"10" "4" 4 8.41103305894342 3.39842777570716 179.591564065777
"11" "4" 9 8.57985833632897 7.0279545521989 281.289699696936
"12" "4" 6 7.42026213350875 4.50706503604098 285.217229509726
"13" "5" 13 5.07471259581695 7.60002218277153 198.159690387547
"14" "5" 38 12.682766438349 4.32106134791916 21.6859742766246
"15" "5" 32 10.4296452718206 5.86931805542396 247.899473598227
"16" "6" 9 6.79319248885829 2.52073375561232 143.863223399967
"17" "6" 3 5.34274239448221 5.78375277808106 117.368635023013
"18" "6" 6 6.21560458798975 9.99625623827191 89.7368327016011
"19" "7" 5 3.68738544110142 5.44098728307397 73.292474867776
"20" "7" 13 6.68402397868091 8.53263782422201 126.543039525859
"21" "7" 5 2.11143867689006 2.26255189382936 281.331053073518
"22" "8" 1 3.31817790649765 4.12684365435962 79.3455349747092
"23" "8" 1 3.38915936616445 7.70488945306196 170.570626202971
"24" "8" 1 5.85367659038862 6.61978626372442 60.6553703080863
"25" "9" 1 5.93947719607326 2.4339595677427 57.8416880685836
"26" "9" 1 6.52416310276346 3.02331780438136 215.583523549139
"27" "9" 6 10.4115726597949 3.12445665964261 94.0553686581552
"28" "10" 12 9.81376859336701 5.13542999789767 41.5170382009819
"29" "10" 14 9.2259824634737 3.75266091097929 17.4092093249783
"30" "10" 5 6.77026412074607 5.58292217990743 279.329892341048
"31" "11" 13 8.11322160443706 3.29425500972368 170.501403626986
"32" "11" 4 3.1780870750833 4.68450770551224 35.3311081649736
"33" "11" 18 6.24365957810958 6.63993804801813 169.438344449736
"34" "12" 5 6.40006316149612 9.14924463608215 162.076854868792
